Fecha,Pedidos,"Ventas brutas",Devoluciones,Cupones,"Ventas netas",Impuestos,Envío,"Ventas totales"
"2025-03-19 00:00:00",4,129030,0,0,129030,0,12200,141230
"2025-03-18 00:00:00",1,40200,0,0,40200,0,0,40200
"2025-03-17 00:00:00",0,0,0,0,0,0,0,0
"2025-03-16 00:00:00",2,94390,0,0,94390,0,4000,98390
"2025-03-15 00:00:00",1,166840,0,0,166840,0,0,166840
"2025-03-14 00:00:00",2,51350,0,0,51350,0,4000,55350
"2025-03-13 00:00:00",0,0,0,0,0,0,0,0
"2025-03-12 00:00:00",0,0,0,0,0,0,0,0
"2025-03-11 00:00:00",3,77830,0,0,77830,0,0,77830
"2025-03-10 00:00:00",5,647520,0,0,647520,0,12000,659520
"2025-03-09 00:00:00",2,56420,0,0,56420,0,4000,60420
"2025-03-08 00:00:00",0,0,0,0,0,0,0,0
"2025-03-07 00:00:00",0,0,0,0,0,0,0,0
"2025-03-06 00:00:00",0,0,0,0,0,0,0,0
"2025-03-05 00:00:00",3,487760,0,0,487760,0,4000,491760
"2025-03-04 00:00:00",4,716190,0,0,716190,0,0,716190
"2025-03-03 00:00:00",2,52340,0,0,52340,0,4000,56340
"2025-03-02 00:00:00",0,0,0,0,0,0,0,0
"2025-03-01 00:00:00",1,70890,0,0,70890,0,0,70890
"2025-02-28 00:00:00",1,109680,0,0,109680,0,0,109680
"2025-02-27 00:00:00",0,0,0,0,0,0,0,0
"2025-02-26 00:00:00",4,76160,0,1867,74293,0,9600,83893
"2025-02-25 00:00:00",1,53890,0,2694,51196,0,4000,55196
"2025-02-24 00:00:00",6,329760,0,11132,318628,0,0,318628
"2025-02-23 00:00:00",1,89270,0,0,89270,0,0,89270
"2025-02-22 00:00:00",1,114960,0,0,114960,0,0,114960
"2025-02-21 00:00:00",0,0,0,0,0,0,0,0
"2025-02-20 00:00:00",1,12240,0,0,12240,0,4000,16240
"2025-02-19 00:00:00",6,277270,0,12684,264586,0,12000,276586
"2025-02-18 00:00:00",0,0,0,0,0,0,0,0
"2025-02-17 00:00:00",1,99070,0,0,99070,0,0,99070
"2025-02-16 00:00:00",0,0,0,0,0,0,0,0
"2025-02-15 00:00:00",0,0,0,0,0,0,0,0
"2025-02-14 00:00:00",0,0,0,0,0,0,0,0
"2025-02-13 00:00:00",0,0,0,0,0,0,0,0
"2025-02-12 00:00:00",2,117290,0,5864,111426,0,4000,115426
"2025-02-11 00:00:00",4,461890,0,3122,458768,0,4000,462768
"2025-02-10 00:00:00",2,85220,0,731,84489,0,4000,88489
"2025-02-09 00:00:00",0,0,0,0,0,0,0,0
"2025-02-08 00:00:00",0,0,0,0,0,0,0,0
"2025-02-07 00:00:00",0,0,0,0,0,0,0,0
"2025-02-06 00:00:00",1,19190,0,959,18231,0,4000,22231
"2025-02-05 00:00:00",5,514280,0,1641,512639,0,6000,518639
"2025-02-04 00:00:00",2,483640,0,0,483640,0,0,483640
"2025-02-03 00:00:00",2,67250,0,0,67250,0,0,67250
"2025-02-02 00:00:00",2,158530,0,3199,155331,0,0,155331
"2025-02-01 00:00:00",0,0,0,0,0,0,0,0
"2025-01-31 00:00:00",3,198580,0,5290,193290,0,0,193290
"2025-01-30 00:00:00",2,48600,0,1322,47278,0,4000,51278
"2025-01-29 00:00:00",2,185450,0,0,185450,0,0,185450
"2025-01-28 00:00:00",2,86250,0,2512,83738,0,0,83738
"2025-01-27 00:00:00",4,185390,0,7559,177831,0,4000,181831
"2025-01-26 00:00:00",1,80660,0,4033,76627,0,0,76627
"2025-01-25 00:00:00",1,48130,0,0,48130,0,4000,52130
"2025-01-24 00:00:00",2,85450,0,0,85450,0,0,85450
"2025-01-23 00:00:00",2,311000,0,0,311000,0,0,311000
"2025-01-22 00:00:00",1,367320,0,18366,348954,0,0,348954
"2025-01-21 00:00:00",5,430990,0,20362,410628,0,8000,418628
"2025-01-20 00:00:00",3,127000,0,0,127000,0,0,127000
"2025-01-19 00:00:00",3,94210,0,2242,91968,0,12800,104768
"2025-01-18 00:00:00",0,0,0,0,0,0,0,0
"2025-01-17 00:00:00",3,154950,0,7747,147203,0,5400,152603
"2025-01-16 00:00:00",0,0,0,0,0,0,0,0
"2025-01-15 00:00:00",0,0,0,0,0,0,0,0
"2025-01-14 00:00:00",5,201090,0,4028,197062,0,4000,201062
"2025-01-13 00:00:00",4,86720,0,0,86720,0,12000,98720
"2025-01-12 00:00:00",1,135770,0,0,135770,0,0,135770
"2025-01-11 00:00:00",1,18640,0,0,18640,0,4000,22640
"2025-01-10 00:00:00",2,114480,0,0,114480,0,4000,118480
"2025-01-09 00:00:00",1,306000,0,0,306000,0,0,306000
"2025-01-08 00:00:00",2,51660,0,0,51660,0,8000,59660
"2025-01-07 00:00:00",3,795190,0,0,795190,0,0,795190
"2025-01-06 00:00:00",1,44900,0,0,44900,0,0,44900
"2025-01-05 00:00:00",2,125990,0,0,125990,0,4000,129990
"2025-01-04 00:00:00",1,59110,0,0,59110,0,4800,63910
"2025-01-03 00:00:00",0,0,0,0,0,0,0,0
"2025-01-02 00:00:00",3,234790,0,0,234790,0,0,234790
"2025-01-01 00:00:00",0,0,0,0,0,0,0,0
"2024-12-31 00:00:00",0,0,0,0,0,0,0,0
"2024-12-30 00:00:00",5,567770,0,0,567770,0,8000,575770
"2024-12-29 00:00:00",1,16300,0,815,15485,0,4000,19485
"2024-12-28 00:00:00",1,29350,0,0,29350,0,0,29350
"2024-12-27 00:00:00",4,136290,0,0,136290,0,8000,144290
"2024-12-26 00:00:00",0,0,0,0,0,0,0,0
"2024-12-25 00:00:00",0,0,0,0,0,0,0,0
"2024-12-24 00:00:00",0,0,0,0,0,0,0,0
"2024-12-23 00:00:00",2,85390,0,3069,82321,0,4000,86321
"2024-12-22 00:00:00",0,0,0,0,0,0,0,0
"2024-12-21 00:00:00",0,0,0,0,0,0,0,0
"2024-12-20 00:00:00",2,109650,0,0,109650,0,0,109650
"2024-12-19 00:00:00",4,533430,0,6723,526707,0,0,526707
"2024-12-18 00:00:00",1,43000,0,0,43000,0,0,43000
"2024-12-17 00:00:00",4,431600,0,0,431600,0,0,431600
"2024-12-16 00:00:00",3,167470,0,0,167470,0,8380,175850
"2024-12-15 00:00:00",1,38950,0,0,38950,0,5400,44350
"2024-12-14 00:00:00",0,0,0,0,0,0,0,0
"2024-12-13 00:00:00",0,0,0,0,0,0,0,0
"2024-12-12 00:00:00",0,0,0,0,0,0,0,0
"2024-12-11 00:00:00",4,574880,19300,0,555580,0,0,555580
"2024-12-10 00:00:00",2,67110,0,1747,65363,0,0,65363
"2024-12-09 00:00:00",4,131300,0,0,131300,0,8000,139300
"2024-12-08 00:00:00",1,60700,0,0,60700,0,0,60700
"2024-12-07 00:00:00",2,26300,0,0,26300,0,4000,30300
"2024-12-06 00:00:00",1,52000,0,0,52000,0,4000,56000
